"Time (s)","CO2 Concentration (ppm)"
"1.5","1565"
"1.55","1127"
"1.6","641"
"1.65","1239"
"1.7","189"
"1.75","1898"
"1.8","867"
"1.85","867"
"1.9","811"
"1.95","671"
"2","1563"
"2.05","795"
"2.1","515"
"2.15","1103"
"2.2","1781"
"2.25","1827"
"2.3","167"
"2.35","666"
"2.4","1210"
"2.45","1818"
"2.5","1029"
"2.55","540"
"2.6","865"
"2.65","1237"
"2.7","447"
"2.75","1164"
"2.8","958"
"2.85","1217"
"2.9","1936"
"2.95","1912"
"3","667"
"3.05","661"
"3.1","698"
"3.15","365"
"3.2","1703"
"3.25","1977"
"3.3","747"
"3.35","48"
"3.4","1903"
"3.45","621"
"3.5","1427"
"3.55","1152"
"3.6","914"
"3.65","43"
"3.7","1311"
"3.75","971"
"3.8","857"
"3.85","1683"
"3.9","711"
"3.95","1441"
"4","1870"
"4.05","1732"
"4.1","377"
"4.15","112"
"4.2","48"
"4.25","101"
"4.3","245"
"4.35","805"
"4.4","489"
"4.45","889"
"4.5","494"
"4.55","1316"
"4.6","501"
"4.65","1875"
"4.7","1719"
"4.75","630"
"4.8","1575"
"4.85","1370"
"4.9","261"
"4.95","1857"
"5","1662"
"5.05","534"
"5.1","1251"
"5.15","1879"
"5.2","1878"
"5.25","1067"
"5.3","278"
"5.35","978"
"5.4","551"
"5.45","776"
"5.5","663"
"5.55","8"
"5.6","359"
"5.65","487"
"5.7","1880"
"5.75","1651"
"5.8","1589"
"5.85","1936"
"5.9","1028"
"5.95","1463"
"6","1321"
"6.05","959"
"6.1","632"
"6.15","1272"
"6.2","196"
"6.25","1144"
"6.3","1080"
"6.35","800"
"6.4","561"
"6.45","1381"
"6.5","1869"
"6.55","1923"
"6.6","1243"
"6.65","1519"
"6.7","1434"
"6.75","1434"
"6.8","468"
"6.85","793"
"6.9","341"
"6.95","1120"
"7","1736"
"7.05","1553"
"7.1","257"
"7.15","1258"
"7.2","1276"
"7.25","1484"
"7.3","859"
"7.35","172"
"7.4","1292"
"7.45","9"
"7.5","531"
"7.55","1816"
"7.6","537"
"7.65","1412"
"7.7","1527"
"7.75","1364"
"7.8","753"
"7.85","753"
"7.9","1491"
"7.95","526"
"8","951"
"8.05","1962"
"8.1","1288"
"8.15","1838"
"8.2","1806"
"8.25","1488"
"8.3","416"
"8.35","1977"
"8.4","1063"
"8.45","1679"
"8.5","953"
"8.55","475"
"8.6","234"
"8.65","1279"
"8.7","1037"
"8.75","184"
"8.8","194"
"8.85","1682"
"8.9","1585"
"8.95","912"
"9","1686"
"9.05","428"
"9.1","489"
"9.15","595"
"9.2","1774"
"9.25","375"
"9.3","720"
"9.35","411"
"9.4","1999"
"9.45","1754"
"9.5","571"
"9.55","560"
"9.6","768"
"9.65","1347"
"9.7","537"
"9.75","1949"
"9.8","1183"
"9.85","1922"
"9.9","202"
"9.95","980"
"10","919"
"10.05","1439"
"10.1","520"
"10.15","1980"
"10.2","480"
"10.25","781"
"10.3","651"
"10.35","1555"
"10.4","441"
"10.45","1313"
"10.5","1711"
"10.55","1616"
"10.6","1113"
"10.65","188"
"10.7","1782"
"10.75","819"
"10.8","819"
"10.85","1983"
"10.9","951"
"10.95","1299"
"11","1503"
"11.05","755"
"11.1","1129"
"11.15","890"
"11.2","1585"
"11.25","1476"
"11.3","142"
"11.35","704"
"11.4","1558"
"11.45","1526"
"11.5","1526"
"11.55","341"
"11.6","804"
"11.65","258"
"11.7","965"
"11.75","1624"
"11.8","740"
"11.85","1796"
"11.9","238"
"11.95","1801"
"12","1424"
"12.05","286"
"12.1","220"
"12.15","1648"
"12.2","1273"
"12.25","979"
"12.3","1308"
"12.35","1026"
"12.4","1518"
"12.45","723"
"12.5","750"
"12.55","83"
"12.6","178"
"12.65","470"
"12.7","1656"
"12.75","724"
"12.8","979"
"12.85","1753"
"12.9","1597"
"12.95","948"
"13","1868"
"13.05","425"
"13.1","10"
"13.15","392"
"13.2","1160"
"13.25","1323"
"13.3","423"
"13.35","1222"
"13.4","183"
"13.45","1321"
"13.5","1972"
"13.55","1194"
"13.6","212"
"13.65","981"
"13.7","1377"
"13.75","1815"
"13.8","973"
"13.85","261"
"13.9","430"
"13.95","822"
"14","227"
"14.05","500"
"14.1","1077"
"14.15","1084"
"14.2","695"
"14.25","1117"
"14.3","587"
"14.35","716"
"14.4","719"
"14.45","1752"
"14.5","363"
"14.55","1549"
"14.6","1345"
"14.65","1494"
"14.7","946"
"14.75","474"
"14.8","864"
"14.85","22"
"14.9","1392"
"14.95","833"
"15","374"
"15.05","1185"
"15.1","1056"
"15.15","581"
"15.2","1452"
"15.25","1547"
"15.3","1656"
"15.35","151"
"15.4","1093"
"15.45","1173"
"15.5","1772"
"15.55","1537"
"15.6","88"
"15.65","762"
"15.7","1674"
"15.75","216"
"15.8","1860"
"15.85","1533"
"15.9","1806"
"15.95","833"
"16","114"
"16.05","638"
"16.1","842"
"16.15","1612"
"16.2","840"
"16.25","274"
"16.3","1782"
"16.35","1903"
"16.4","342"
"16.45","1580"
"16.5","43"
"16.55","620"
"16.6","537"
"16.65","1305"
"16.7","1595"
"16.75","606"
"16.8","1122"
"16.85","41"
"16.9","1951"
"16.95","1154"
"17","1139"
"17.05","68"
"17.1","1568"
"17.15","1501"
"17.2","1572"
"17.25","988"
"17.3","607"
"17.35","867"
"17.4","470"
"17.45","59"
"17.5","1177"
"17.55","1133"
"17.6","953"
"17.65","1082"
"17.7","1621"
"17.75","488"
"17.8","389"
"17.85","1895"
"17.9","836"
"17.95","1942"
"18","1983"
"18.05","1938"
"18.1","1832"
"18.15","1617"
"18.2","1357"
"18.25","494"
"18.3","1501"
"18.35","232"
"18.4","776"
"18.45","1821"
"18.5","409"
"18.55","1761"
"18.6","803"
"18.65","1683"
"18.7","1172"
"18.75","1480"
"18.8","1511"
"18.85","307"
"18.9","442"
"18.95","1303"
"19","177"
"19.05","569"
"19.1","1513"
"19.15","377"
"19.2","1900"
"19.25","1943"
"19.3","1617"
"19.35","1617"
"19.4","1460"
"19.45","308"
"19.5","1297"
"19.55","167"
"19.6","1799"
"19.65","1966"
"19.7","279"
"19.75","1577"
"19.8","1621"
"19.85","211"
"19.9","20"
"19.95","1777"
"20","1777"
"20.05","1638"
"20.1","1295"
"20.15","1800"
"20.2","10"
"20.25","415"
"20.3","487"
"20.35","1505"
"20.4","209"
"20.45","1270"
"20.5","1938"
"20.55","816"
"20.6","29"
"20.65","521"
"20.7","1136"
"20.75","975"
"20.8","222"
"20.85","1293"
"20.9","774"
"20.95","1002"
"21","1992"
"21.05","1992"
"21.1","1593"
"21.15","1207"
"21.2","1802"
"21.25","1087"
"21.3","1867"
"21.35","956"
"21.4","1437"
"21.45","1873"
"21.5","552"
"21.55","552"
"21.6","198"
"21.65","1043"
"21.7","443"
"21.75","122"
"21.8","27"
"21.85","1842"
"21.9","1302"
"21.95","1252"
"22","622"
"22.05","628"
"22.1","1925"
"22.15","1515"
"22.2","1144"
"22.25","1458"
"22.3","1452"
"22.35","1899"
"22.4","1213"
"22.45","415"
"22.5","1788"
"22.55","38"
"22.6","757"
"22.65","441"
"22.7","11"
"22.75","1080"
"22.8","1401"
"22.85","205"
"22.9","1999"
"22.95","882"
"23","261"
"23.05","524"
"23.1","1608"
"23.15","1136"
"23.2","328"
"23.25","1370"
"23.3","164"
"23.35","720"
"23.4","1967"
"23.45","1160"
"23.5","1600"
"23.55","823"
"23.6","869"
"23.65","1320"
"23.7","1802"
"23.75","288"
"23.8","1503"
"23.85","970"
"23.9","217"
"23.95","791"
"24","612"
"24.05","498"
"24.1","808"
"24.15","993"
"24.2","1268"
"24.25","1258"
"24.3","1583"
"24.35","1232"
"24.4","148"
"24.45","1626"
"24.5","591"
"24.55","1396"
"24.6","1128"
"24.65","1069"
"24.7","1611"
"24.75","1399"
"24.8","911"
"24.85","1123"
"24.9","1937"
"24.95","143"
"25","281"
"25.05","1448"
"25.1","337"
"25.15","1856"
"25.2","850"
"25.25","12"
"25.3","556"
"25.35","1376"
"25.4","294"
"25.45","1296"
"25.5","1003"
"25.55","1950"
"25.6","1711"
"25.65","1251"
"25.7","790"
"25.75","1660"
"25.8","957"
"25.85","643"
"25.9","1488"
"25.95","347"
"26","256"
"26.05","479"
"26.1","91"
"26.15","1633"
"26.2","1127"
"26.25","1235"
"26.3","1831"
"26.35","169"
"26.4","235"
"26.45","1593"
"26.5","1303"
"26.55","419"
"26.6","452"
"26.65","1183"
"26.7","26"
"26.75","1892"
"26.8","719"
"26.85","1432"
"26.9","427"
"26.95","94"
"27","870"
"27.05","545"
"27.1","1697"
"27.15","1643"
"27.2","1302"
"27.25","137"
"27.3","1586"
"27.35","1615"
"27.4","268"
"27.45","268"
"27.5","908"
"27.55","79"
"27.6","721"
"27.65","721"
"27.7","1599"
"27.75","1704"
"27.8","16"
"27.85","16"
"27.9","786"
"27.95","1587"
"28","1653"
"28.05","1653"
"28.1","237"
"28.15","563"
"28.2","1129"
"28.25","1129"
"28.3","155"
"28.35","876"
"28.4","545"
"28.45","1413"
"28.5","185"
"28.55","260"
"28.6","1685"
"28.65","1133"
"28.7","31"
"28.75","757"
"28.8","1220"
"28.85","592"
"28.9","1190"
"28.95","703"
"29","1063"
"29.05","219"
"29.1","1529"
"29.15","443"
"29.2","1148"
"29.25","1148"
"29.3","145"
"29.35","145"
"29.4","1465"
"29.45","27"
"29.5","1693"
"29.55","299"
"29.6","1149"
"29.65","1846"
"29.7","1216"
"29.75","903"
"29.8","1119"
"29.85","515"
"29.9","937"
"29.95","757"
"30","1385"
"30.05","1083"
"30.1","1598"
"30.15","1598"
"30.2","194"
"30.25","1582"
"30.3","1582"
"30.35","70"
"30.4","70"
"30.45","1833"
"30.5","1945"
"30.55","1945"
"30.6","1501"
"30.65","661"
"30.7","1964"
"30.75","1823"
"30.8","939"
"30.85","1951"
"30.9","417"
"30.95","294"
"31","1380"
"31.05","1381"
"31.1","1720"
"31.15","1960"
"31.2","495"
"31.25","425"
"31.3","714"
"31.35","1996"
"31.4","1489"
"31.45","1992"
"31.5","1627"
"31.55","138"
"31.6","1231"
"31.65","217"
"31.7","1290"
"31.75","1284"
"31.8","1284"
"31.85","832"
"31.9","707"
"31.95","1507"
"32","1190"
"32.05","1238"
"32.1","1647"
"32.15","626"
"32.2","1098"
"32.25","165"
"32.3","815"
"32.35","540"
"32.4","1812"
"32.45","562"
"32.5","809"
"32.55","578"
"32.6","56"
"32.65","506"
"32.7","787"
"32.75","809"
"32.8","807"
"32.85","1952"
"32.9","1616"
"32.95","1312"
"33","587"
"33.05","1173"
"33.1","665"
"33.15","507"
"33.2","1606"
"33.25","736"
"33.3","1197"
"33.35","677"
"33.4","1092"
"33.45","254"
"33.5","1796"
"33.55","41"
"33.6","219"
"33.65","367"
"33.7","420"
"33.75","865"
"33.8","383"
"33.85","1230"
"33.9","660"
"33.95","601"
"34","291"
"34.05","431"
"34.1","1224"
"34.15","1376"
"34.2","492"
"34.25","985"
"34.3","1571"
"34.35","1233"
"34.4","800"
"34.45","185"
"34.5","1019"
"34.55","1463"
"34.6","1599"
"34.65","1613"
"34.7","1713"
"34.75","1843"
"34.8","1315"
"34.85","887"
"34.9","67"
"34.95","1062"
"35","27"
"35.05","861"
"35.1","504"
"35.15","1811"
"35.2","900"
"35.25","1481"
"35.3","1510"
"35.35","391"
"35.4","1959"
"35.45","828"
"35.5","1007"
"35.55","1014"
"35.6","1863"
"35.65","12"
"35.7","1448"
"35.75","1779"
"35.8","611"
"35.85","1709"
"35.9","276"
"35.95","271"
"36","186"
"36.05","64"
"36.1","1877"
"36.15","854"
"36.2","1791"
"36.25","1571"
"36.3","1221"
"36.35","1585"
"36.4","1028"
"36.45","1631"
"36.5","1139"
"36.55","401"
"36.6","1993"
"36.65","1407"
"36.7","1033"
"36.75","418"
"36.8","802"
"36.85","222"
"36.9","793"
"36.95","1646"
"37","173"
"37.05","364"
"37.1","656"
"37.15","788"
"37.2","1482"
"37.25","340"
"37.3","1681"
"37.35","1443"
"37.4","585"
"37.45","87"
"37.5","1916"
"37.55","1875"
"37.6","48"
"37.65","605"
"37.7","767"
"37.75","1336"
"37.8","1666"
"37.85","1297"
"37.9","169"
"37.95","1200"
"38","874"
"38.05","1391"
"38.1","1499"
"38.15","995"
"38.2","1798"
"38.25","1196"
"38.3","1771"
"38.35","1079"
"38.4","624"
"38.45","553"
"38.5","1660"
"38.55","728"
"38.6","980"
"38.65","100"
"38.7","466"
"38.75","1490"
"38.8","456"
"38.85","1196"
"38.9","1958"
"38.95","1402"
"39","1889"
"39.05","341"
"39.1","760"
"39.15","17"
"39.2","1974"
"39.25","379"
"39.3","52"
"39.35","14"
"39.4","513"
"39.45","1536"
"39.5","1543"
"39.55","1733"
"39.6","922"
"39.65","488"
"39.7","1056"
"39.75","536"
"39.8","1798"
"39.85","735"
"39.9","1276"
"39.95","147"
"40","268"
"40.05","860"
"40.1","794"
"40.15","11"
"40.2","1126"
"40.25","705"
"40.3","918"
"40.35","1610"
"40.4","1610"
"40.45","1342"
"40.5","689"
"40.55","240"
"40.6","1423"
"40.65","1097"
"40.7","1572"
"40.75","1445"
"40.8","1181"
"40.85","1668"
"40.9","606"
"40.95","133"
"41","1876"
"41.05","491"
"41.1","917"
"41.15","708"
"41.2","339"
"41.25","0"
"41.3","777"
"41.35","260"
"41.4","1193"
"41.45","842"
"41.5","984"
"41.55","1677"
"41.6","1875"
"41.65","182"
"41.7","603"
"41.75","51"
"41.8","58"
"41.85","1948"
"41.9","1744"
"41.95","1495"
"42","230"
"42.05","1806"
"42.1","138"
"42.15","1034"
"42.2","1703"
"42.25","1974"
"42.3","1820"
"42.35","808"
"42.4","1240"
"42.45","404"
"42.5","983"
"42.55","488"
"42.6","752"
"42.65","996"
"42.7","174"
"42.75","1355"
"42.8","1258"
"42.85","1783"
"42.9","1269"
"42.95","600"
"43","1311"
"43.05","384"
"43.1","171"
"43.15","1141"
"43.2","695"
"43.25","4"
"43.3","913"
"43.35","1071"
"43.4","1592"
"43.45","912"
"43.5","23"
"43.55","1668"
"43.6","1582"
"43.65","426"
"43.7","1990"
"43.75","1"
"43.8","218"
"43.85","320"
"43.9","834"
"43.95","603"
"44","515"
"44.05","1009"
"44.1","213"
"44.15","916"
"44.2","330"
"44.25","1939"
"44.3","1351"
"44.35","1063"
"44.4","305"
"44.45","1097"
"44.5","1624"
"44.55","318"
"44.6","1089"
"44.65","1207"
"44.7","504"
"44.75","1484"
"44.8","62"
"44.85","1264"
"44.9","1613"
"44.95","1273"
"45","1872"
"45.05","946"
"45.1","1987"
"45.15","1652"
"45.2","700"
"45.25","461"
"45.3","483"
"45.35","356"
"45.4","69"
"45.45","1994"
"45.5","1989"
"45.55","817"
"45.6","1581"
"45.65","1958"
"45.7","12"
"45.75","1737"
"45.8","1520"
"45.85","1429"
"45.9","1188"
"45.95","1233"
"46","1470"
"46.05","1228"
"46.1","204"
"46.15","236"
"46.2","1174"
"46.25","1472"
"46.3","1539"
"46.35","1852"
"46.4","920"
"46.45","1882"
"46.5","496"
"46.55","776"
"46.6","54"
"46.65","1762"
"46.7","478"
"46.75","885"
"46.8","1210"
"46.85","1417"
"46.9","820"
"46.95","371"
"47","186"
"47.05","656"
"47.1","1060"
"47.15","1834"
"47.2","1567"
"47.25","667"
"47.3","836"
"47.35","1959"
"47.4","1910"
"47.45","1053"
"47.5","765"
"47.55","1309"
"47.6","553"
"47.65","265"
"47.7","883"
"47.75","131"
"47.8","819"
"47.85","1892"
"47.9","414"
"47.95","1727"
"48","1132"
"48.05","1132"
"48.1","1828"
"48.15","843"
"48.2","1903"
"48.25","191"
"48.3","113"
"48.35","766"
"48.4","994"
"48.45","1738"
"48.5","934"
"48.55","569"
"48.6","1741"
"48.65","1661"
"48.7","1296"
"48.75","242"
"48.8","1064"
"48.85","373"
"48.9","561"
"48.95","233"
"49","673"
"49.05","723"
"49.1","1905"
"49.15","88"
"49.2","1011"
"49.25","1837"
"49.3","256"
"49.35","1029"
"49.4","1463"
"49.45","1123"
"49.5","899"
"49.55","1146"
"49.6","381"
"49.65","1063"
"49.7","760"
"49.75","1694"
"49.8","1126"
"49.85","625"
"49.9","1550"
"49.95","428"
"50","1226"
"50.05","1016"
"50.1","545"
"50.15","673"
"50.2","948"
"50.25","1987"
"50.3","1065"
"50.35","1217"
"50.4","460"
"50.45","1081"
"50.5","1907"
"50.55","279"
"50.6","705"
"50.65","733"
"50.7","1731"
"50.75","1460"
"50.8","1784"
"50.85","517"
"50.9","577"
"50.95","1657"
"51","931"
"51.05","1198"
"51.1","162"
"51.15","1120"
"51.2","1257"
"51.25","1295"
"51.3","1984"
"51.35","1279"
"51.4","765"
"51.45","10"
"51.5","1384"
"51.55","1146"
"51.6","758"
"51.65","128"
"51.7","662"
"51.75","60"
"51.8","24"
"51.85","735"
"51.9","82"
"51.95","1722"
"52","419"
"52.05","389"
"52.1","1217"
"52.15","586"
"52.2","1995"
"52.25","1715"
"52.3","852"
"52.35","734"
"52.4","1939"
"52.45","705"
"52.5","357"
"52.55","1791"
"52.6","1788"
"52.65","409"
"52.7","291"
"52.75","1518"
"52.8","642"
"52.85","1299"
"52.9","239"
"52.95","554"
"53","1423"
"53.05","1761"
"53.1","11"
"53.15","681"
"53.2","777"
"53.25","325"
"53.3","1575"
"53.35","926"
"53.4","306"
"53.45","1169"
"53.5","940"
"53.55","1516"
"53.6","1509"
"53.65","1639"
"53.7","524"
"53.75","640"
"53.8","267"
"53.85","674"
"53.9","1628"
"53.95","1784"
"54","1784"
"54.05","376"
"54.1","376"
"54.15","1825"
"54.2","1825"
"54.25","624"
"54.3","1868"
"54.35","549"
"54.4","549"
"54.45","629"
"54.5","629"
"54.55","33"
"54.6","1897"
"54.65","1326"
"54.7","927"
"54.75","485"
"54.8","750"
"54.85","228"
"54.9","503"
"54.95","858"
"55","581"
"55.05","194"
"55.1","322"
"55.15","181"
"55.2","387"
"55.25","276"
"55.3","1302"
"55.35","524"
"55.4","1963"
"55.45","1443"
"55.5","1114"
"55.55","1635"
"55.6","391"
"55.65","333"
"55.7","1994"
"55.75","254"
"55.8","209"
"55.85","1823"
"55.9","117"
"55.95","1763"
"56","270"
"56.05","1731"
"56.1","69"
"56.15","1863"
"56.2","424"
"56.25","1510"
"56.3","1610"
"56.35","221"
"56.4","1470"
"56.45","767"
"56.5","322"
"56.55","1706"
"56.6","1221"
"56.65","624"
"56.7","499"
"56.75","121"
"56.8","668"
"56.85","1424"
"56.9","1774"
"56.95","1468"
"57","1961"
"57.05","822"
"57.1","1255"
"57.15","594"
"57.2","342"
"57.25","8"
"57.3","856"
"57.35","292"
"57.4","1277"
"57.45","1088"
"57.5","811"
"57.55","310"
"57.6","1830"
"57.65","727"
"57.7","1151"
"57.75","296"
"57.8","1787"
"57.85","1373"
"57.9","434"
"57.95","157"
"58","1219"
"58.05","1948"
"58.1","727"
"58.15","675"
"58.2","916"
"58.25","684"
"58.3","1106"
"58.35","1011"
"58.4","1026"
"58.45","1915"
"58.5","1734"
"58.55","383"
"58.6","1593"
"58.65","652"
"58.7","578"
"58.75","260"
"58.8","1490"
"58.85","17"
"58.9","1069"
"58.95","1069"
"59","489"
"59.05","1053"
"59.1","584"
"59.15","1565"
"59.2","293"
"59.25","1902"
"59.3","1450"
"59.35","1484"
"59.4","1302"
"59.45","1573"
"59.5","327"
"59.55","235"
"59.6","574"
"59.65","1363"
"59.7","334"
"59.75","9"
"59.8","817"
"59.85","1261"
"59.9","1743"
"59.95","1818"
"60","1345"
"60.05","1800"
"60.1","644"
"60.15","1483"
"60.2","213"
"60.25","399"
"60.3","423"
"60.35","1283"
"60.4","1825"
"60.45","262"
"60.5","1116"
"60.55","1258"
"60.6","1954"
"60.65","920"
"60.7","1978"
"60.75","1963"
"60.8","1073"
"60.85","1226"
"60.9","575"
"60.95","469"
"61","669"
"61.05","978"
"61.1","722"
"61.15","1651"
"61.2","1718"
"61.25","655"
"61.3","1394"
"61.35","1286"
"61.4","694"
"61.45","532"
"61.5","1191"
"61.55","56"
"61.6","909"
"61.65","847"
"61.7","292"
"61.75","555"
"61.8","1241"
"61.85","420"
"61.9","248"
"61.95","656"
"62","1003"
"62.05","66"
"62.1","679"
"62.15","1175"
"62.2","711"
"62.25","1048"
"62.3","1371"
"62.35","1219"
"62.4","1493"
"62.45","631"
"62.5","1034"
"62.55","1270"
"62.6","1516"
"62.65","1358"
"62.7","1809"
"62.75","215"
"62.8","576"
"62.85","1812"
"62.9","817"
"62.95","1824"
"63","967"
"63.05","677"
"63.1","629"
"63.15","5"
"63.2","1000"
"63.25","847"
"63.3","753"
"63.35","1581"
"63.4","1165"
"63.45","127"
"63.5","1316"
"63.55","1941"
"63.6","7"
"63.65","78"
"63.7","584"
"63.75","76"
"63.8","814"
"63.85","1347"
"63.9","1336"
"63.95","1474"
"64","1105"
"64.05","1764"
"64.1","1719"
"64.15","1986"
"64.2","413"
"64.25","1314"
"64.3","1408"
"64.35","1901"
"64.4","601"
"64.45","187"
"64.5","518"
"64.55","383"
"64.6","1100"
"64.65","775"
"64.7","205"
"64.75","1196"
"64.8","1174"
"64.85","24"
"64.9","295"
"64.95","268"
"65","744"
"65.05","1739"
"65.1","1336"
"65.15","585"
"65.2","1646"
"65.25","753"
"65.3","1274"
"65.35","1424"
"65.4","1424"
"65.45","1407"
"65.5","915"
"65.55","1916"
"65.6","215"
"65.65","1241"
"65.7","323"
"65.75","1009"
"65.8","1009"
"65.85","874"
"65.9","874"
"65.95","1324"
"66","1832"
"66.05","330"
"66.1","1666"
"66.15","719"
"66.2","1027"
"66.25","119"
"66.3","190"
"66.35","372"
"66.4","1811"
"66.45","720"
"66.5","880"
"66.55","1781"
"66.6","1248"
"66.65","989"
"66.7","1517"
"66.75","1655"
"66.8","728"
"66.85","1158"
"66.9","652"
"66.95","1878"
"67","806"
"67.05","1836"
"67.1","1846"
"67.15","1167"
"67.2","1926"
"67.25","1183"
"67.3","271"
"67.35","1039"
"67.4","1577"
"67.45","270"
"67.5","1536"
"67.55","1706"
"67.6","1057"
"67.65","819"
"67.7","1182"
"67.75","241"
"67.8","969"
"67.85","301"
"67.9","1770"
"67.95","285"
"68","1980"
"68.05","487"
"68.1","689"
"68.15","458"
"68.2","1656"
"68.25","1759"
"68.3","122"
"68.35","172"
"68.4","1712"
"68.45","1133"
"68.5","1876"
"68.55","478"
"68.6","1664"
"68.65","1091"
"68.7","1201"
"68.75","512"
"68.8","325"
"68.85","625"
"68.9","1977"
"68.95","1979"
"69","1581"
"69.05","253"
"69.1","1714"
"69.15","1400"
"69.2","428"
"69.25","150"
"69.3","1558"
"69.35","1945"
"69.4","1985"
"69.45","1946"
"69.5","54"
"69.55","312"
"69.6","144"
"69.65","1702"
"69.7","1535"
"69.75","32"
"69.8","964"
"69.85","1727"
"69.9","1199"
"69.95","1691"
"70","1293"
"70.05","631"
"70.1","1171"
"70.15","1171"
"70.2","130"
"70.25","1132"
"70.3","306"
"70.35","492"
"70.4","1277"
"70.45","638"
"70.5","1460"
"70.55","1604"
"70.6","1197"
"70.65","136"
"70.7","1835"
"70.75","373"
"70.8","1970"
"70.85","966"
"70.9","1670"
"70.95","1692"
"71","642"
"71.05","122"
"71.1","1780"
"71.15","1765"
"71.2","1743"
"71.25","1828"
"71.3","788"
"71.35","1123"
"71.4","1118"
"71.45","771"
"71.5","1640"
"71.55","394"
"71.6","1139"
"71.65","1579"
"71.7","1354"
"71.75","895"
"71.8","50"
"71.85","335"
"71.9","251"
"71.95","882"
"72","1138"
"72.05","1831"
"72.1","602"
"72.15","194"
"72.2","1288"
"72.25","1937"
"72.3","574"
"72.35","1799"
"72.4","1969"
"72.45","1257"
"72.5","313"
"72.55","1439"
"72.6","1323"
"72.65","1149"
"72.7","1179"
"72.75","779"
"72.8","356"
"72.85","582"
"72.9","756"
"72.95","1378"
"73","1411"
"73.05","1948"
"73.1","863"
"73.15","160"
"73.2","1268"
"73.25","1109"
"73.3","1114"
"73.35","1669"
"73.4","1607"
"73.45","656"
"73.5","1360"
"73.55","1633"
"73.6","381"
"73.65","1557"
"73.7","1293"
"73.75","1014"
"73.8","1153"
"73.85","472"
"73.9","1412"
"73.95","1807"
"74","1807"
"74.05","1096"
"74.1","1725"
"74.15","1749"
"74.2","1749"
"74.25","881"
"74.3","881"
"74.35","336"
"74.4","1690"
"74.45","686"
"74.5","686"
"74.55","1074"
"74.6","1271"
"74.65","525"
"74.7","1552"
"74.75","661"
"74.8","1151"
"74.85","1739"
"74.9","874"
"74.95","721"
"75","771"
"75.05","264"
"75.1","1649"
"75.15","1079"
"75.2","1755"
"75.25","1030"
"75.3","513"
"75.35","1144"
"75.4","1016"
"75.45","620"
"75.5","1692"
"75.55","1553"
"75.6","1710"
"75.65","1453"
"75.7","1298"
"75.75","1861"
"75.8","1915"
"75.85","326"
"75.9","1128"
"75.95","871"
"76","389"
"76.05","1293"
"76.1","1079"
"76.15","562"
"76.2","1203"
"76.25","876"
"76.3","1186"
"76.35","1772"
"76.4","1566"
"76.45","876"
"76.5","996"
"76.55","1883"
"76.6","1326"
"76.65","1728"
"76.7","1299"
"76.75","1485"
"76.8","436"
"76.85","306"
"76.9","1877"
"76.95","834"
"77","348"
"77.05","679"
"77.1","569"
"77.15","561"
"77.2","103"
"77.25","776"
"77.3","422"
"77.35","13"
"77.4","1985"
"77.45","624"
"77.5","1921"
"77.55","263"
"77.6","731"
"77.65","524"
"77.7","1199"
"77.75","1548"
"77.8","1921"
"77.85","771"
"77.9","1714"
"77.95","1072"
"78","1251"
"78.05","963"
"78.1","1669"
"78.15","597"
"78.2","270"
"78.25","1114"
"78.3","742"
"78.35","1747"
"78.4","425"
"78.45","294"
"78.5","37"
"78.55","550"
"78.6","471"
"78.65","153"
"78.7","1277"
"78.75","1383"
"78.8","816"
"78.85","522"
"78.9","212"
"78.95","60"
"79","177"
"79.05","209"
"79.1","850"
"79.15","1003"
"79.2","1962"
"79.25","187"
"79.3","549"
"79.35","1897"
"79.4","1831"
"79.45","985"
"79.5","26"
"79.55","1069"
"79.6","39"
"79.65","1075"
"79.7","1695"
"79.75","1385"
"79.8","168"
"79.85","822"
"79.9","793"
"79.95","952"
"80","980"
"80.05","248"
"80.1","925"
"80.15","1230"
"80.2","1414"
"80.25","909"
"80.3","613"
"80.35","1101"
"80.4","1489"
"80.45","1513"
"80.5","1482"
"80.55","1832"
"80.6","284"
"80.65","650"
"80.7","794"
"80.75","1277"
"80.8","1393"
"80.85","1546"
"80.9","1202"
"80.95","1516"
"81","594"
"81.05","1994"
"81.1","1649"
"81.15","996"
"81.2","91"
"81.25","589"
"81.3","1324"
"81.35","629"
"81.4","395"
"81.45","395"
"81.5","126"
"81.55","126"
"81.6","1480"
"81.65","740"
"81.7","879"
"81.75","226"
"81.8","654"
"81.85","1647"
"81.9","447"
"81.95","813"
"82","873"
"82.05","782"
"82.1","1692"
"82.15","403"
"82.2","1977"
"82.25","1977"
"82.3","237"
"82.35","1467"
"82.4","1418"
"82.45","367"
"82.5","476"
"82.55","792"
"82.6","1836"
"82.65","98"
"82.7","1327"
"82.75","813"
"82.8","1973"
"82.85","708"
"82.9","7"
"82.95","549"
"83","652"
"83.05","56"
"83.1","748"
"83.15","672"
"83.2","6"
"83.25","522"
"83.3","1727"
"83.35","123"
"83.4","751"
"83.45","195"
"83.5","1500"
"83.55","953"
"83.6","1524"
"83.65","857"
"83.7","1983"
"83.75","1099"
"83.8","1063"
"83.85","132"
"83.9","1253"
"83.95","351"
"84","197"
"84.05","474"
"84.1","1439"
"84.15","748"
"84.2","806"
"84.25","1136"
"84.3","1648"
"84.35","1406"
"84.4","1779"
"84.45","256"
"84.5","218"
"84.55","587"
"84.6","1342"
"84.65","1777"
